chr	start	stop	density
chr11	100744113	100744138	0.1942
chr11	100744353	100744378	0.0971
chr11	100744399	100744424	0.0971
chr11	100744587	100744612	0.0971
chr11	100744744	100744769	0.0971
chr11	100744847	100744872	0.1942
chr11	100745459	100745484	0.0971
chr11	100746175	100746200	0.0971
chr11	100747016	100747041	0.0971
chr11	100747129	100747154	0.0971
chr11	100747632	100747657	0.0971
chr11	100748009	100748034	0.0971
chr11	100749002	100749027	0.0971
chr11	100751086	100751111	0.0971
chr11	100751124	100751149	0.0971
chr11	100752347	100752372	0.1942
chr11	100752725	100752750	0.1942
chr11	100752868	100752893	0.0971
chr11	100753218	100753243	0.0971
chr11	100753856	100753881	0.0971
chr11	100754969	100754994	0.0971
chr11	100755588	100755613	0.0971
chr11	100756130	100756155	0.0971
chr11	100756342	100756367	0.0971
chr11	100757501	100757526	0.1942
chr11	100757593	100757618	0.0971
chr11	100758730	100758755	0.0971
chr11	100759733	100759758	0.0971
chr11	100760058	100760083	0.0971
chr11	100760217	100760242	0.0971
chr11	100760558	100760583	0.0971
chr11	100762932	100762957	0.0971
chr11	100764406	100764431	0.0971
chr11	100766276	100766301	0.0971
chr11	100766471	100766496	0.1942
chr11	100767267	100767268	0.0971
chr11	100767268	100767292	0.1942
chr11	100767292	100767293	0.0971
chr11	100768003	100768028	0.0971
chr11	100769003	100769028	0.0971
chr11	100769289	100769314	0.0971
chr11	100769601	100769626	0.0971
chr11	100770062	100770087	0.1942
chr11	100771051	100771076	0.0971
chr11	100771508	100771533	0.0971
chr11	100772470	100772495	0.0971
chr11	100773793	100773818	0.0971
chr11	100775912	100775937	0.0971
chr11	100776166	100776191	0.1942
chr11	100776432	100776457	0.0971
chr11	100776559	100776584	0.0971
chr11	100776681	100776706	0.0971
chr11	100777876	100777901	0.1942
chr11	100778129	100778154	0.1942
chr11	100778360	100778385	0.0971
chr11	100779212	100779237	0.0971
chr11	100779899	100779924	0.0971
chr11	100780709	100780734	0.1942
chr11	100780826	100780851	0.0971
chr11	100781485	100781510	0.0971
chr11	100781850	100781875	0.0971
chr11	100784800	100784825	0.0971
chr11	100785899	100785924	0.0971
chr11	100785994	100786019	0.0971
chr11	100787004	100787029	0.0971
chr11	100788372	100788397	0.0971
chr11	100788609	100788634	0.0971
chr11	100792038	100792063	0.1942
chr11	100792210	100792235	0.1942
chr11	100796158	100796183	0.0971
chr11	100796645	100796670	0.0971
chr11	100797291	100797316	0.0971
chr11	100797735	100797760	0.0971
chr11	100797784	100797809	0.0971
chr11	100798651	100798676	0.0971
chr11	100798727	100798752	0.0971
chr11	100799532	100799557	0.1942
chr11	100800025	100800050	0.0971
chr11	100800083	100800108	0.0971
chr11	100800646	100800671	0.0971
chr11	100800674	100800699	0.1942
chr11	100800712	100800737	0.1942
chr11	100800744	100800769	0.0971
chr11	100800863	100800888	0.0971
chr11	100800895	100800920	0.0971
chr11	100800932	100800936	0.0971
chr11	100800936	100800942	0.1942
chr11	100800942	100800946	0.2913
chr11	100800946	100800950	0.3884
chr11	100800950	100800953	0.4855
chr11	100800953	100800957	0.5826
chr11	100800957	100800961	0.4855
chr11	100800961	100800967	0.3884
chr11	100800967	100800969	0.4855
chr11	100800969	100800971	0.5826
chr11	100800971	100800974	0.4855
chr11	100800974	100800975	0.5826
chr11	100800975	100800977	0.4855
chr11	100800977	100800978	0.5826
chr11	100800978	100800979	0.4855
chr11	100800979	100800980	0.5826
chr11	100800980	100800981	0.7768
chr11	100800981	100800984	0.8739
chr11	100800984	100800986	1.0681
chr11	100800986	100800992	1.3594
chr11	100800992	100800993	1.1652
chr11	100800993	100800994	1.2623
chr11	100800994	100800995	1.1652
chr11	100800995	100800997	1.5536
chr11	100800997	100800999	1.7478
chr11	100800999	100801001	1.8449
chr11	100801001	100801002	2.4275
chr11	100801002	100801003	2.3304
chr11	100801003	100801005	2.8159
chr11	100801005	100801006	3.2043
chr11	100801006	100801008	3.3014
chr11	100801008	100801011	3.4956
chr11	100801011	100801012	3.2043
chr11	100801012	100801013	3.5927
chr11	100801013	100801014	3.9812
chr11	100801014	100801015	4.0783
chr11	100801015	100801017	4.1754
chr11	100801017	100801018	4.2725
chr11	100801018	100801020	4.1754
chr11	100801020	100801021	3.7870
chr11	100801021	100801022	4.0783
chr11	100801022	100801025	3.8841
chr11	100801025	100801026	4.0783
chr11	100801026	100801028	3.4956
chr11	100801028	100801030	3.0101
chr11	100801030	100801031	2.7188
chr11	100801031	100801033	2.6217
chr11	100801033	100801034	2.8159
chr11	100801034	100801035	2.6217
chr11	100801035	100801037	2.8159
chr11	100801037	100801038	2.4275
chr11	100801038	100801039	2.2333
chr11	100801039	100801040	2.6217
chr11	100801040	100801041	2.5246
chr11	100801041	100801042	2.6217
chr11	100801042	100801044	2.5246
chr11	100801044	100801045	2.8159
chr11	100801045	100801046	3.0101
chr11	100801046	100801047	2.7188
chr11	100801047	100801048	3.0101
chr11	100801048	100801049	3.1072
chr11	100801049	100801051	2.9130
chr11	100801051	100801052	3.1072
chr11	100801052	100801053	3.4956
chr11	100801053	100801054	3.5927
chr11	100801054	100801055	3.4956
chr11	100801055	100801056	3.2043
chr11	100801056	100801057	3.1072
chr11	100801057	100801058	3.3014
chr11	100801058	100801059	3.1072
chr11	100801059	100801060	3.2043
chr11	100801060	100801061	3.0101
chr11	100801061	100801062	3.1072
chr11	100801062	100801063	3.6899
chr11	100801063	100801064	3.7870
chr11	100801064	100801065	3.3014
chr11	100801065	100801066	3.3985
chr11	100801066	100801068	3.4956
chr11	100801068	100801069	3.8841
chr11	100801069	100801070	3.5927
chr11	100801070	100801072	3.8841
chr11	100801072	100801073	3.5927
chr11	100801073	100801074	3.4956
chr11	100801074	100801075	3.6899
chr11	100801075	100801076	3.4956
chr11	100801076	100801077	3.3014
chr11	100801077	100801078	2.9130
chr11	100801078	100801079	2.8159
chr11	100801079	100801080	3.0101
chr11	100801080	100801081	3.1072
chr11	100801081	100801082	3.3014
chr11	100801082	100801083	3.1072
chr11	100801083	100801084	2.9130
chr11	100801084	100801085	2.8159
chr11	100801085	100801086	2.9130
chr11	100801086	100801087	2.8159
chr11	100801087	100801088	2.2333
chr11	100801088	100801089	2.0391
chr11	100801089	100801090	2.2333
chr11	100801090	100801091	2.1362
chr11	100801091	100801093	1.9420
chr11	100801093	100801094	1.6507
chr11	100801094	100801095	1.9420
chr11	100801095	100801096	1.4565
chr11	100801096	100801099	1.5536
chr11	100801099	100801100	1.4565
chr11	100801100	100801101	1.5536
chr11	100801101	100801102	1.7478
chr11	100801102	100801104	1.8449
chr11	100801104	100801105	1.6507
chr11	100801105	100801106	1.5536
chr11	100801106	100801108	1.4565
chr11	100801108	100801110	1.6507
chr11	100801110	100801114	1.7478
chr11	100801114	100801115	1.5536
chr11	100801115	100801116	1.6507
chr11	100801116	100801118	1.7478
chr11	100801118	100801119	1.6507
chr11	100801119	100801121	1.3594
chr11	100801121	100801125	1.2623
chr11	100801125	100801126	1.1652
chr11	100801126	100801127	0.9710
chr11	100801127	100801131	0.8739
chr11	100801131	100801133	0.7768
chr11	100801133	100801135	0.5826
chr11	100801135	100801140	0.3884
chr11	100801140	100801141	0.5826
chr11	100801141	100801147	0.4855
chr11	100801147	100801149	0.5826
chr11	100801149	100801151	0.4855
chr11	100801151	100801163	0.5826
chr11	100801163	100801165	0.6797
chr11	100801165	100801172	0.3884
chr11	100801172	100801176	0.2913
chr11	100801176	100801182	0.1942
chr11	100801182	100801187	0.2913
chr11	100801187	100801188	0.3884
chr11	100801188	100801199	0.1942
chr11	100801199	100801207	0.2913
chr11	100801207	100801212	0.1942
chr11	100801212	100801217	0.0971
chr11	100801217	100801224	0.1942
chr11	100801224	100801242	0.0971
chr11	100802436	100802461	0.0971
chr11	100802739	100802764	0.0971
chr11	100802803	100802828	0.0971
chr11	100803131	100803156	0.0971
chr11	100803626	100803651	0.0971
chr11	100803870	100803893	0.1942
chr11	100803893	100803895	0.3884
chr11	100803895	100803918	0.1942
chr11	100804055	100804080	0.0971
chr11	100804919	100804920	0.0971
chr11	100804920	100804944	0.1942
chr11	100804944	100804945	0.0971
chr11	100805148	100805173	0.0971
chr11	100805385	100805410	0.0971
chr11	100805474	100805499	0.0971
chr11	100805714	100805739	0.0971
chr11	100806495	100806520	0.0971
chr11	100806621	100806646	0.0971
chr11	100806789	100806814	0.0971
chr11	100807097	100807122	0.0971
chr11	100808078	100808103	0.0971
chr11	100808386	100808403	0.1942
chr11	100808403	100808411	0.3884
chr11	100808411	100808428	0.1942
chr11	100808569	100808594	0.0971
chr11	100809555	100809580	0.0971
chr11	100810412	100810437	0.0971
chr11	100810941	100810966	0.0971
chr11	100811494	100811519	0.1942
chr11	100813219	100813244	0.0971
chr11	100813520	100813545	0.0971
chr11	100813721	100813746	0.1942
chr11	100813762	100813787	0.0971
chr11	100814641	100814666	0.0971
chr11	100816727	100816752	0.1942
chr11	100817063	100817088	0.1942
chr11	100817189	100817214	0.0971
chr11	100817586	100817611	0.0971
chr11	100818169	100818194	0.0971
chr11	100818368	100818393	0.0971
chr11	100818641	100818666	0.0971
chr11	100818693	100818718	0.0971
chr11	100818720	100818736	0.0971
chr11	100818736	100818745	0.2913
chr11	100818745	100818761	0.1942
chr11	100818774	100818799	0.1942
chr11	100818829	100818854	0.0971
chr11	100818934	100818959	0.0971
chr11	100819590	100819615	0.0971
chr11	100819881	100819906	0.0971
chr11	100820078	100820103	0.1942
chr11	100820162	100820187	0.1942
chr11	100820214	100820239	0.0971
chr11	100820303	100820328	0.0971
chr11	100820459	100820484	0.1942
chr11	100820621	100820646	0.1942
